[2025-12-24 16:38:11] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2025-12-24 16:44:11] USER:yyyyas | ACTION:LOGOUT | DETAILS:User logged out from the system
[2025-12-24 16:44:29] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2025-12-24 16:52:49] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2025-12-24 16:54:12] USER:yas | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 0 visible traffic records
[2025-12-24 16:54:45] USER:yas | ACTION:CLEAR_ALL_TRAFFIC | DETAILS:Cleared all traffic data from database
[2025-12-24 17:05:55] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2025-12-24 17:07:11] USER:user | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{D9B7A0F8-4AA0-45D6-B883-EC3AFA608459}
[2025-12-24 17:19:17] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 13 visible traffic records
[2025-12-24 17:19:24] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{D9B7A0F8-4AA0-45D6-B883-EC3AFA608459}
[2025-12-24 17:28:29] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2025-12-24 17:29:20] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{6D55C71C-6404-4691-8D82-37C0092D1D27}
[2025-12-31 12:42:57] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{D9B7A0F8-4AA0-45D6-B883-EC3AFA608459}
[2025-12-31 12:55:39] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{D9B7A0F8-4AA0-45D6-B883-EC3AFA608459}
[2025-12-31 12:56:55] USER:admin | ACTION:LOGOUT | DETAILS:User logged out from the system
[2025-12-31 13:10:54] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 15 visible traffic records
[2026-01-03 15:50:18] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{2C3FB776-8B49-45C7-A603-6352F9D309DA}
[2026-01-03 15:50:50] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-03 18:31:46] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{2C3FB776-8B49-45C7-A603-6352F9D309DA}
[2026-01-03 18:31:57] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-03 19:12:34] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{2C3FB776-8B49-45C7-A603-6352F9D309DA}
[2026-01-04 20:02:31] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-04 20:02:49] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 317 visible traffic records
[2026-01-04 20:03:32] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-04 20:04:20] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 605 visible traffic records
[2026-01-04 20:04:24] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-04 20:05:08] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-04 20:34:15] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 46 visible traffic records
[2026-01-04 21:00:22] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-04 21:00:41] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-04 21:00:45] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-04 21:01:28] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 949 visible traffic records
[2026-01-04 21:01:34] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-04 21:25:21] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-04 21:25:25] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-04 23:34:20] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-04 23:35:29] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-04 23:59:23] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 00:01:14] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 00:01:21] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 1197 visible traffic records
